product_id,product_name,product_desc,cat_id,cat_name,parent_category_name,cat_path
"85679","Steering Wheel Pocket Watch","Streamlined Pocket Watch features a unique steering wheel design and carabiner clip.","2","Auto","Accessories","Accessories > Auto"
"85175","Swiss Force® Protector Emergency Tool","- Emergency safety must-have
- 4.75” black anodized stainless steel blade
- Built-in cutter for line or seat belt
- Emergency window breaker
- Sturdy aluminum belt clip and handle
- Recommended as auto emergency tool","2","Auto","Accessories","Accessories > Auto"
"85174","Swiss Force® Detour 5-in-1 Auto Tool with Powerbank","- 5-in-1 auto safety tool and 2200mAH rechargeable powerbank for mobile devices
- Includes seat belt cutter and emergency window breaker
- Features flashing red LED SOS function
- Ultra bright flashlight
- Sturdy belt clip","2","Auto","Accessories","Accessories > Auto"
"85142","Swiss Force® Preserver Emergency Tool","-The ultimate emergency accessory
-Flashlight with 8 efficient white LED bulbs
-Auto emergency window breaker
-Built-in safety-design, seat belt cutter
-Tough gunmetal body with easy grip design
-3 AAA batteries included

Giftbox Size: 6.35"" W x 1.5"" H x 1.5"" D","2","Auto","Accessories","Accessories > Auto"
"84434","Seed Paper Air Fresheners","•	A never ending promo that looks at the end of life of products.
•	Custom shape within 3.50” x 2.75”
•	Full color print front and back, copy change inclusive.
•	100% biodegradable cotton paper with seeds!
•	Plant within 2 years for higher rates of germination.
•	Plant under a light layer of soil, keep the soil moist and under a bright sunny spot.
•	Allow up to three weeks for the seeds to sprout.

**Production Time: 25 days from approval of artwork/sample**

**Air Transit Time: 10-15 days**","2","Auto","Accessories","Accessories > Auto"
"84431","Wooden Air Freshener","- Most environmental and earthy
- Biodegradable
- Made of natural wood
- Laser engrave or pantone color print

**Production Time: 30 - 35 days from approval of artwork/sample **

**Air Transit Time: 15 days**","2","Auto","Accessories","Accessories > Auto"
"84430","Fabric Air Freshener","- Long lasting scent
- Closest color match
- Custom shapes, designs, and patterns 
- Eco-friendly fabric
- Pantone color printing

**Production Time: 20 -30 days from approval of artwork/sample**

**Air Transit Time: 15 days**","2","Auto","Accessories","Accessories > Auto"
"84429","Silicone Air Freshener","- Longest lasting scent
- Eye catching
- 2D or 2.5 raised print logo
- Up to 6 pantone color matches without upcharges
- Highest number of impressions to dollars spent ratio

**Production Time: 20 -30 days from approval of artwork/sample**

**Air Transit Time: 15 days**","2","Auto","Accessories","Accessories > Auto"
"81109","Goliath Jump Starter/Powerbank","- 12V Battery Jump Starter with Smart Protection Jumper Cables
- 500 Peak AMP Power boosts most 12V batteries up to 5L (V6) and diesel up to 3L.     
- 2 USB device charging ports.
- LED 100 lumen flashlight with emergency strobe      
- Safety certified built-in rechargeable 10,000mAh lithium battery
- LED battery power indicator
- USB charging cable included to recharge unit 
- Zippered, protective EVA storage case

Product Size: 6.5"" x 7.5"" x 2""","2","Auto","Accessories","Accessories > Auto"
"81065","Magnaholder Phone Holder","- Magnetic phone holder fits conveniently into the car air vent
- Constructed of silicone, aluminum and ABS
- Includes rectangular and circular magnets and with adhesive tape
- 360 degree rotation
- Securely holds your mobile phone or other devices while driving for handsfree use

Product Size: 1.6875"" x 1.375""","2","Auto","Accessories","Accessories > Auto"
"80884","Northline 4-in-1 COB Light","- Auto emergency multi-tool with nylon wrist strap.
- Compact design with bright 70 lumen COB light.
- Magnetic head base for light multi-positioning .
- Stainless steel side-window breaker.
- Integrated safety belt cutter.
- Anodized aircraft-grade hard aluminum alloy body.","2","Auto","Accessories","Accessories > Auto"
"77334","Kor® Ride Bottle Holder","Let water ride shotgun. 

Never worry about where to put your water bottle again,  just focus on drinking from it.

Only to be used with ONE + Wilshire

Product Size: 2.75"" W x 13"" H","2","Auto","Accessories","Accessories > Auto"
"71460","Shade Guard","- 2 UV resistant nylon panels with nylon pouch.

Product Size: 28"" x 24""","2","Auto","Accessories","Accessories > Auto"
"71459","Accordion Sun Shade","Silver Mylar reflective accordion sun shade with poly foam backing.

Product Size: 56"" x 24""","2","Auto","Accessories","Accessories > Auto"
"71458","Tire Depth Gauge","-Truck tire depth (tread) gauge key chain
-Easily measures tire tread.
-Safety mark indicates minimum tread depth.

Product Size: 1"" x 2.375""","2","Auto","Accessories","Accessories > Auto"
"71457","Auto Tire Gauge","-Auto tire tread gauge key chain.-Easily measures tire tread. Safety mark indicates minimum tread depth.

Product Size: 1"" x 2.375""","2","Auto","Accessories","Accessories > Auto"
"71456","Nano Tire Gauge with Keychain","-Mini tire pressure gauge
 -Calibrated from 10 to 50 psi and accurate to +/- 2 psi.
-Includes key chain

Product Size: 0.625"" x 3.25""","2","Auto","Accessories","Accessories > Auto"
"71454","Fold-Out Emergency Kit","- 8 pieces: tire gauge. booster cables, flashlight, 2 screwdrivers, socket with 9 bits and electrical current tester. 
- Packaged in a handy carrying case with reflective trim.

Product Size: 10.5"" x 6"" x 3""","2","Auto","Accessories","Accessories > Auto"
"70718","9W x 12H Litter Bag - Dynamic Color","Our low-density 3.0 mil. plastic bags can hang over standard-size door knobs. USA made.","2","Auto","Accessories","Accessories > Auto"
"69460","Reflector Clip-On Safety Light","Clips onto a book bag, jacket, bike -- anywhere you want to sure to be seen! Bright flashing LED light activated at the press of a button. Features sturdy clasp attachment. Two button cell batteries included.","2","Auto","Accessories","Accessories > Auto"
"69454","Mini Ice Scraper Keychain w/ Squeegee","Mini ice scraper with squeegee and beaded chain (unattached). Course and fine scraper edges.","2","Auto","Accessories","Accessories > Auto"
"69421","Sweet Ride Auto Vent Car Air Freshener","Everyone wants a sweet smelling ride! Attach to dashboard air vent and turn on the fan, to circulate the fragrance. Turn the top, to adjust intensity. Available fragrances are lemon and apple, and aroma beads are individually polybagged.","2","Auto","Accessories","Accessories > Auto"
"68803","Rescue Car Charger with Type-C","This versatile USB and Type-C port car charger is the perfect
companion to charge your devices and serve as an emergency safety tool
while on the go. It also includes seat belt cutter and a great
addition to any safety kit. Size: 82.5×48×22.5mm DC Input: 12V~24V
Output: 5V/3.0A total Each port maximum 5V/2.4A Function: Car charger
Safety hammer Safety belt cutter Material: ABS & Aluminum","2","Auto","Accessories","Accessories > Auto"
"68749","Cell Phone Car Mount","This Cell Phone Car Mount allows you to stand your phone up in your
car for hands free calling. Fits on the air vent of your car.","2","Auto","Accessories","Accessories > Auto"
